dwadzieściorgu	2
trzydzieściorgu	3
czterdzieściorgu	4
pięćdzięsięciorgu	5
sześćdziesięciorgu	6
siedemdziesięciorgu	7
osiemdziesięciorgu	8
dziewięćdziesięciorgu	9
